Results_Name,VSPAERO_History
Results_Timestamp,1748269105
Results_Date,5,26,2025
Results_Time,16,18,25
Alpha,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,7.051208825000000388e-03,6.897707165999999654e-03,7.013978274999999908e-03,7.015174197999999965e-03,7.016371932000000158e-03,7.016352301999999666e-03
CDo,1.422019032700000060e-02,1.426868077400000011e-02,1.429581181799999962e-02,1.429649430699999994e-02,1.429676401499999951e-02,1.429674392199999956e-02
CDt,7.017703810000000368e-03,6.866446852000000073e-03,6.982565082999999707e-03,6.983415056999999967e-03,6.984337065000000358e-03,6.984105610000000165e-03
CDtot,2.127139829099999879e-02,2.116638794500000018e-02,2.130978927000000064e-02,2.131166867900000095e-02,2.131313644300000115e-02,2.131309546500000096e-02
CDtott,2.123789489300000055e-02,2.113512717200000113e-02,2.127837762200000121e-02,2.127990871700000119e-02,2.128110080999999834e-02,2.128084935199999958e-02
CFx,-1.852937498100000122e-02,-1.897470619200000014e-02,-1.906787818000000093e-02,-1.907138235999999987e-02,-1.907236662299999913e-02,-1.907235730600000123e-02
CFy,-5.394227199999999690e-05,-8.927102000000000100e-06,-5.054830000000000272e-07,-3.002899999999999712e-08,-2.287999999999999957e-09,-6.899999999999999954e-10
CFz,4.882913602469999836e-01,4.938557814110000055e-01,4.978552392610000044e-01,4.979449539019999982e-01,4.979866202670000241e-01,4.979860674079999994e-01
CL,4.885919265429999880e-01,4.941720286949999874e-01,4.981708816729999989e-01,4.982606567580000201e-01,4.983023175330000276e-01,4.983017649440000252e-01
CMx,2.814553896999999905e-03,5.105223879999999832e-04,9.993686000000000594e-06,2.090783999999999937e-06,8.991899999999999937e-08,5.157499999999999695e-08
CMy,-2.202159993299999952e-01,-2.150920134279999951e-01,-2.166368508479999955e-01,-2.166474252130000111e-01,-2.166631271520000068e-01,-2.166626847989999993e-01
CMz,4.215817799999999879e-05,4.841023000000000322e-06,-1.621300000000000098e-08,2.702400000000000098e-08,-1.349999999999999991e-10,2.640000000000000189e-10
CS,-5.394227199999999690e-05,-8.927102000000000100e-06,-5.054830000000000272e-07,-3.002899999999999712e-08,-2.287999999999999957e-09,-6.899999999999999954e-10
E,7.003928748000000093e-01,7.324269052709999617e-01,7.319897255299999683e-01,7.321287400749999508e-01,7.321261759449999573e-01,7.321266004349999967e-01
FC_AoA_,3.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,4.379999999999999893e+00
FC_Cref_,2.555000000000000049e-01
FC_Mach_,1.000000000000000021e-03
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,2.000000000000000000e+05
FC_Rho_,2.377000000000000206e-03
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,1.246839999999999948e+00
FC_Vinf_,1.000000000000000000e+02
FC_Xcg_,0.000000000000000000e+00
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,0.000000000000000000e+00
L/D,2.296943059745800042e+01,2.334701745473899948e+01,2.337755930415099925e+01,2.337971128961800105e+01,2.338005626114700064e+01,2.338007390848499867e+01
Mach,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3,4,5,6
